source,target,element,element_type,port_index,phases,status,nominal_status,status_file,active,direction_basis,current_rating,groups
bus_1017,bus_1020,line_376,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,vault_3|swa_7
bus_1019,bus_1030,line_377,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,vault_3
bus_1026,bus_1028,line_378,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,vault_3
bus_1032,bus_1053,line_379,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,ss_4|swgr_4
bus_1053,bus_1037,line_380,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,ss_4
bus_1038,bus_1033,line_381,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,ss_4
bus_1034,bus_1041,line_382,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,ss_4
bus_1040,bus_1035,line_383,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,ss_4
bus_1036,bus_1052,line_384,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,ss_4
bus_1070,bus_1071,line_385,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,bldg_157|group_161
bus_1076,bus_1077,line_386,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,bldg_157|group_163
bus_1071,bus_1078,line_387,Line,1,abc,UNSPECIFIED,,,True,topology_fbus_to_tbus_unverified_by_measurement,,bldg_157|bldg_164
